index,make,fuel-type,num-of-doors,body-style,num-of-cylinders,fuel-system,horsepower,city-mpg
134,subaru,gas,two,hatchback,four,2bbl,69.0,31
180,volkswagen,diesel,four,sedan,four,idi,52.0,37
158,toyota,gas,four,sedan,four,2bbl,70.0,28
189,volkswagen,gas,four,wagon,four,mpfi,88.0,25
89,nissan,gas,four,sedan,four,2bbl,69.0,31
48,mazda,gas,two,hatchback,four,2bbl,68.0,31
116,plymouth,gas,two,hatchback,four,spdi,102.0,24
12,bmw,gas,four,sedan,six,mpfi,121.0,21
69,mercedes-benz,gas,two,convertible,eight,mpfi,155.0,16
110,peugot,gas,four,wagon,four,mpfi,95.0,19
154,toyota,diesel,four,sedan,four,idi,56.0,34
16,bmw,gas,four,sedan,six,mpfi,182.0,15
19,chevrolet,gas,four,sedan,four,2bbl,70.0,38
2,alfa-romero,gas,two,hatchback,six,mpfi,154.0,19
143,subaru,gas,four,wagon,four,mpfi,94.0,25
185,volkswagen,gas,two,convertible,four,mpfi,90.0,24
29,honda,gas,two,hatchback,four,1bbl,58.0,49
155,toyota,diesel,four,hatchback,four,idi,56.0,38
24,dodge,gas,four,sedan,four,2bbl,68.0,31
77,mitsubishi,gas,two,hatchback,four,spdi,116.0,23
127,renault,gas,two,hatchback,four,mpfi,103.39698492462311,23
5,audi,gas,two,sedan,five,mpfi,110.0,19
118,plymouth,gas,four,sedan,four,2bbl,68.0,31
113,peugot,diesel,four,sedan,four,idi,95.0,28
25,dodge,gas,four,sedan,four,2bbl,68.0,31
163,toyota,gas,two,hardtop,four,mpfi,116.0,24
37,honda,gas,two,hatchback,four,1bbl,86.0,27
91,nissan,gas,two,sedan,four,2bbl,69.0,31
28,dodge,gas,two,hatchback,four,mfi,145.0,19
92,nissan,gas,two,hatchback,four,2bbl,69.0,31
186,volkswagen,gas,two,hatchback,four,mpfi,90.0,24
148,toyota,gas,four,hatchback,four,2bbl,62.0,31
82,mitsubishi,gas,four,sedan,four,2bbl,88.0,25
76,mitsubishi,gas,two,hatchback,four,spdi,102.0,24
101,nissan,gas,two,hatchback,six,mpfi,160.0,19
41,honda,gas,two,sedan,four,2bbl,100.0,25
157,toyota,gas,four,hatchback,four,2bbl,70.0,28
140,subaru,gas,four,sedan,four,2bbl,82.0,24
105,peugot,diesel,four,sedan,four,idi,95.0,28
20,dodge,gas,two,hatchback,four,2bbl,68.0,37
74,mitsubishi,gas,two,hatchback,four,2bbl,68.0,31
120,plymouth,gas,four,wagon,four,2bbl,88.0,24
65,mercedes-benz,diesel,four,wagon,five,idi,123.0,22
170,toyota,diesel,four,sedan,four,idi,73.0,30
35,honda,gas,four,wagon,four,1bbl,76.0,30
130,saab,gas,two,hatchback,four,mpfi,110.0,21
168,toyota,gas,two,convertible,four,mpfi,116.0,24
42,isuzu,gas,four,sedan,four,2bbl,78.0,24
46,jaguar,gas,two,sedan,twelve,mpfi,262.0,13
173,toyota,gas,four,hatchback,four,mpfi,92.0,27
64,mercedes-benz,diesel,four,sedan,five,idi,123.0,22
93,nissan,gas,four,sedan,four,2bbl,69.0,31
182,volkswagen,gas,four,sedan,four,mpfi,85.0,27
121,plymouth,gas,two,hatchback,four,spdi,145.0,19
144,subaru,gas,four,wagon,four,2bbl,82.0,23
63,mazda,diesel,four,sedan,four,idi,72.0,31
7,audi,gas,four,wagon,five,mpfi,110.0,19
10,bmw,gas,four,sedan,four,mpfi,101.0,23
176,toyota,gas,four,sedan,six,mpfi,156.0,20
13,bmw,gas,four,sedan,six,mpfi,121.0,20
15,bmw,gas,two,sedan,six,mpfi,182.0,16
86,nissan,gas,two,sedan,four,2bbl,69.0,31
43,isuzu,gas,two,hatchback,four,spfi,90.0,24
60,mazda,diesel,two,sedan,four,idi,64.0,36
97,nissan,gas,four,sedan,four,2bbl,97.0,27
27,dodge,gas,four,wagon,four,2bbl,88.0,24
17,chevrolet,gas,two,hatchback,three,2bbl,48.0,47
106,peugot,gas,four,wagon,four,mpfi,97.0,19
108,peugot,gas,four,sedan,four,mpfi,95.0,19
150,toyota,gas,four,wagon,four,2bbl,62.0,27
162,toyota,gas,two,hatchback,four,mpfi,112.0,26
141,subaru,gas,four,sedan,four,mpfi,111.0,24
67,mercedes-benz,diesel,four,sedan,five,idi,123.0,22
135,subaru,gas,two,hatchback,four,2bbl,73.0,26
196,volvo,gas,four,sedan,four,mpfi,114.0,23
70,mercedes-benz,gas,four,sedan,eight,mpfi,184.0,14
133,saab,gas,four,sedan,four,mpfi,160.0,19
39,honda,gas,four,sedan,four,1bbl,86.0,27
4,audi,gas,four,sedan,five,mpfi,115.0,18
165,toyota,gas,two,hatchback,four,mpfi,116.0,24
142,subaru,gas,four,wagon,four,2bbl,82.0,28
146,toyota,gas,two,hatchback,four,2bbl,62.0,35
62,mazda,gas,four,sedan,four,mpfi,120.0,19
68,mercedes-benz,gas,four,sedan,eight,mpfi,155.0,16
53,mazda,gas,two,hatchback,two,4bbl,101.0,17
192,volvo,gas,four,sedan,four,mpfi,114.0,24
9,bmw,gas,two,sedan,four,mpfi,101.0,23
78,mitsubishi,gas,two,hatchback,four,2bbl,88.0,25
40,honda,gas,four,sedan,four,mpfi,101.0,24
31,honda,gas,two,hatchback,four,1bbl,60.0,38
139,subaru,gas,four,sedan,four,mpfi,94.0,26
199,volvo,diesel,four,sedan,six,idi,106.0,26
169,toyota,gas,four,sedan,four,mpfi,92.0,29
132,saab,gas,two,hatchback,four,mpfi,160.0,19
96,nissan,gas,four,hatchback,four,2bbl,97.0,27
54,mazda,gas,two,hatchback,two,4bbl,101.0,17
125,porsche,gas,two,convertible,six,mpfi,207.0,17
72,mercury,gas,two,hatchback,four,mpfi,175.0,19
8,audi,gas,four,sedan,five,mpfi,140.0,17
51,mazda,gas,four,sedan,four,2bbl,68.0,31
107,peugot,diesel,four,wagon,four,idi,95.0,25
59,mazda,gas,four,sedan,four,2bbl,84.0,26
36,honda,gas,two,hatchback,four,1bbl,86.0,27
79,mitsubishi,gas,two,hatchback,four,spdi,145.0,19
85,mitsubishi,gas,four,sedan,four,spdi,116.0,23
152,toyota,gas,four,sedan,four,2bbl,70.0,30
172,toyota,gas,four,sedan,four,mpfi,92.0,27
23,dodge,gas,four,hatchback,four,2bbl,68.0,31
75,mitsubishi,gas,two,hatchback,four,2bbl,68.0,31
22,dodge,gas,two,hatchback,four,mpfi,102.0,24
159,toyota,gas,two,sedan,four,2bbl,70.0,29
151,toyota,gas,four,wagon,four,2bbl,62.0,27
73,mitsubishi,gas,two,hatchback,four,2bbl,68.0,37
145,subaru,gas,four,wagon,four,mpfi,111.0,23
193,volvo,gas,four,wagon,four,mpfi,114.0,24
95,nissan,gas,two,hardtop,four,2bbl,69.0,31
98,nissan,gas,four,sedan,six,mpfi,152.0,17
115,plymouth,gas,two,hatchback,four,2bbl,68.0,37
114,peugot,gas,four,sedan,four,mpfi,142.0,18
3,audi,gas,four,sedan,four,mpfi,102.0,24
156,toyota,gas,four,sedan,four,2bbl,70.0,38
179,volkswagen,gas,two,sedan,four,mpfi,85.0,27
32,honda,gas,two,hatchback,four,1bbl,76.0,30
161,toyota,gas,two,sedan,four,mpfi,112.0,26
160,toyota,gas,two,hatchback,four,2bbl,70.0,29
194,volvo,gas,four,sedan,four,mpfi,162.0,17
66,mercedes-benz,diesel,two,hardtop,five,idi,123.0,22
49,mazda,gas,two,hatchback,four,2bbl,68.0,31
136,subaru,gas,two,hatchback,four,2bbl,73.0,26
30,honda,gas,two,hatchback,four,1bbl,76.0,31
117,plymouth,gas,four,hatchback,four,2bbl,68.0,31
56,mazda,gas,two,hatchback,four,2bbl,84.0,26
166,toyota,gas,two,hardtop,four,mpfi,116.0,24
149,toyota,gas,four,wagon,four,2bbl,62.0,31
21,dodge,gas,two,hatchback,four,2bbl,68.0,31
0,alfa-romero,gas,two,convertible,four,mpfi,111.0,21
131,saab,gas,four,sedan,four,mpfi,110.0,21
52,mazda,gas,two,hatchback,two,4bbl,101.0,17
126,renault,gas,four,wagon,four,mpfi,103.39698492462311,23
38,honda,gas,four,sedan,four,1bbl,86.0,27
44,jaguar,gas,four,sedan,six,mpfi,176.0,15
178,volkswagen,diesel,two,sedan,four,idi,52.0,37
164,toyota,gas,two,hardtop,four,mpfi,116.0,24
195,volvo,gas,four,wagon,four,mpfi,162.0,17
57,mazda,gas,four,sedan,four,2bbl,84.0,26
198,volvo,gas,four,sedan,six,mpfi,134.0,18
55,mazda,gas,two,hatchback,two,mpfi,135.0,16
94,nissan,gas,four,wagon,four,2bbl,69.0,31
109,peugot,diesel,four,sedan,four,idi,95.0,28
103,nissan,gas,two,hatchback,six,mpfi,160.0,19
58,mazda,gas,two,hatchback,four,2bbl,84.0,26
137,subaru,gas,four,sedan,four,2bbl,82.0,32
50,mazda,gas,four,sedan,four,2bbl,68.0,31
87,nissan,diesel,two,sedan,four,idi,55.0,45
104,peugot,gas,four,sedan,four,mpfi,97.0,19
129,saab,gas,four,sedan,four,mpfi,110.0,21
197,volvo,gas,four,sedan,four,mpfi,160.0,19
183,volkswagen,diesel,four,sedan,four,idi,68.0,37
174,toyota,gas,two,hatchback,six,mpfi,161.0,20
122,porsche,gas,two,hatchback,four,mpfi,143.0,19
